"_SITE_TITLE";"Social Network"
"ITEM_TYPE_EVENT_PHOTO";"Foto Evento"
"ITEM_TYPE_EVENT_TOPIC";"Event Discussion Topics"
"ITEM_TYPE_EVENT_POST";"Discussioni sull'evento."
"Events Plugin";"Events Plugin"
"Do you want to let members edit and delete events?";"Do you want to let members edit and delete events?"
"Allow Deletion of Events?";"Allow Deletion of Events?"
"Do you want to let members delete events? If set to no, some other settings on this page may not apply.";"Do you want to let members delete events? If set to no, some other settings on this page may not apply."
"Yes, allow members to delete their own events.";"Yes, allow members to delete their own events."
"No, do not allow members to delete their events.";"No, do not allow members to delete their events."
"Allow Commenting on Events?";"Allow Commenting on Events?"
"Do you want to let members of this level comment on events?";"Do you want to let members of this level comment on events?"
"Yes, allow members to comment on events.";"Yes, allow members to comment on events."
"No, do not allow members to comment on events.";"No, do not allow members to comment on events."
"Friends and Networks (user events only)";"Amici e Networks (solo eventi iscritti)"
"Friends of Friends (user events only)";"Friends of Friends (user events only)"
"Friends Only (user events only)";"Friends Only (user events only)"
"Group Members (group events only)";"Group Members (group events only)"
"Event Guests Only";"Solo Ospiti dell'Evento"
"All Guests";"Tutti gli ospiti"
"Event Profile Discussions";"Discussioni Profilo Evento"
"Event Profile Info";"Event Profile Info"
"Event Profile Members";"Event Profile Members"
"Event Profile Photo";"Event Profile Photo"
"Event Profile Photos";"Foto Profilo Evento"
"Event Profile RSVP";"Profilo Adesione Evento"
"Event Profile Status";"Event Profile Status"
"Profile Events";"Profile Events"
"Select a date";"Seleziona una data"
"Please select a time from the dropdown.";"Please select a time from the dropdown."
"Please select a date from the calendar.";"Please select a date from the calendar."
"%1$s at %2$s";"%1$s at %2$s"
"Awaiting Reply";"In Attesa Di Risposta"
"awaiting reply";"in attesa di risposta"
"Arts";"Arte"
"Conferences";"Conferences"
"Festivals";"Festivals"
"Food";"Food"
"Fundraisers";"Fundraisers"
"Galleries";"Galleries"
"Just For Fun";"Just For Fun"
"Kids";"Kids"
"Learning";"Learning"
"Literary";"Literary"
"Movies";"Movies"
"Museums";"Museums"
"Neighborhood";"Neighborhood"
"Networking";"Networking"
"Nightlife";"Nightlife"
"On Campus";"On Campus"
"Organizations";"Organizations"
"Outdoors";"Outdoors"
"Pets";"Pets"
"Politics";"Politics"
"Sales";"Sales"
"Spirituality";"Spirituality"
"Theatre";"Theatre"
"{item:$subject} has {item:$object:posted} on a {itemParent:$object::event topic} you created.";"{item:$subject} has {item:$object:posted} on a {itemParent:$object::event topic} you created."
"{item:$subject} has {item:$object:posted} on a {itemParent:$object::event topic} you posted on.";"{item:$subject} has {item:$object:posted} on a {itemParent:$object::event topic} you posted on."
"{item:$subject} has invited you to the event {item:$object}.";"{item:$subject} has invited you to the event {item:$object}."
"Your request to join the event {item:$subject} has been approved.";"Your request to join the event {item:$subject} has been approved."
"{item:$subject} created a new event:";"{item:$subject} ha creato un nuovo evento:"
"{item:$subject} joined the event {item:$object}";"{item:$subject} joined the event {item:$object}"
"{item:$subject} posted a {item:$object:topic} in the event {itemParent:$object:event}: {body:$body}";"{item:$subject} posted a {item:$object:topic} in the event {itemParent:$object:event}: {body:$body}"
"{item:$subject} replied to a {item:$object:topic} in the event {itemParent:$object:event}: {body:$body}";"{item:$subject} replied to a {item:$object:topic} in the event {itemParent:$object:event}: {body:$body}"
"_EMAIL_NOTIFY_EVENT_ACCEPTED_TITLE";"Event Approved"
"_EMAIL_NOTIFY_EVENT_ACCEPTED_DESCRIPTION";"This email is sent to the member when they are approved to join an event."
"_EMAIL_NOTIFY_EVENT_ACCEPTED_SUBJECT";"Richiesta di partecipazione all'evento [object_title]"
"_EMAIL_NOTIFY_EVENT_ACCEPTED_BODY";"[header]

La tua richiesta di adesione all'evento ""[object_title]"" è stata approvata. Clicca sul link seguente per vederlo:

http://[host][object_link]

[footer]"
"_EMAIL_NOTIFY_EVENT_APPROVE_TITLE";"Event Request"
"_EMAIL_NOTIFY_EVENT_APPROVE_DESCRIPTION";"This email is sent to the member when someone requests to join their event."
"_EMAIL_NOTIFY_EVENT_APPROVE_SUBJECT";"[sender_title] ha chiesto di partecipare all'evento [object_title]"
"_EMAIL_NOTIFY_EVENT_APPROVE_BODY";"[header]

[sender_title] ha chiesto di aderire all'evento ""[object_title]"". Clicca sul link seguente per vederlo:

http://[host][object_link]

[footer]"
"_EMAIL_NOTIFY_EVENT_DISCUSSION_REPLY_TITLE";"Event Discussion Reply"
"_EMAIL_NOTIFY_EVENT_DISCUSSION_REPLY_DESCRIPTION";"This email is sent to the member when people reply to discussion topics that the member created."
"_EMAIL_NOTIFY_EVENT_DISCUSSION_REPLY_SUBJECT";"Un iscritto ha risposto  sull'argomento [object_title] per l'evento ""[object_parent_title]"" 
"
"_EMAIL_NOTIFY_EVENT_DISCUSSION_REPLY_BODY";"[header]

[sender_title] ha risposto alla tua discussione ""[object_title]"". Clicca sul link seguente per vederlo:

http://[host][object_link]

[footer]"
"_EMAIL_NOTIFY_EVENT_DISCUSSION_RESPONSE_TITLE";"Event Discussion Response"
"_EMAIL_NOTIFY_EVENT_DISCUSSION_RESPONSE_DESCRIPTION";"This email is sent to the member when people reply to discussion topics that the member replied to."
"_EMAIL_NOTIFY_EVENT_DISCUSSION_RESPONSE_SUBJECT";"Replica ad una tua risposta in una discussione per l'evento [object_title]"
"_EMAIL_NOTIFY_EVENT_DISCUSSION_RESPONSE_BODY";"[header]

[sender_title] ti ha risposto nella discussione ""[object_title]"". Clicca sul link seguente per vederlo:

http://[host][object_link]

[footer]"
"_EMAIL_NOTIFY_EVENT_INVITE_TITLE";"Event Invitation"
"_EMAIL_NOTIFY_EVENT_INVITE_DESCRIPTION";"This email is sent to someone when they are invited to an event."
"_EMAIL_NOTIFY_EVENT_INVITE_SUBJECT";"Sei stato invitato a partecipare all'evento [object_title]"
"_EMAIL_NOTIFY_EVENT_INVITE_BODY";"[header]

Sei stato invitato a partecipare all'evento ""[object_title]"". Clicca sul link seguente per accettare o decidere diversamente:

http://[host][object_link]

[footer]"
"Chat Plugin";"Chat Plugin"
"Chat";"Chat"
"The chat room has been disabled by the site admin.";"La chat room è stata disabilitata dall'Amministrazione del Sito."
"Browse Chatrooms";"Browse Chatrooms"
"You are sending messages too quickly - please wait a few seconds and try again.";"You are sending messages too quickly - please wait a few seconds and try again."
"%1$s has joined the room.";"%1$s has joined the room."
"%1$s has left the room.";"%1$s has left the room."
"None of your friends are online.";"Nessun tuo amico è online."
"Friends Online";"Amici Online"
"Manage Chat Rooms";"Manage Chat Rooms"
"Create Chat Room";"Create Chat Room"
"Create Room";"Create Room"
"Changes saved.";"Changes saved."
"Chat room page description.";"Chat room page description."
"Users In Room";"Users In Room"
"%d chat room";"%d chat room";"%d chat rooms"
"IM Privacy";"IM Privacy"
"Can users IM only their friends or everyone?";"Can users IM only their friends or everyone?"
"CHAT_FORM_ADMIN_SETTINGS_GLOBAL_GENERALDELAY_DESCRIPTION";"The chatroom application connects to your server (using AJAX) every few seconds to get new data. How often do you want this process to occur? A shorter amount of time will make the chat slightly faster but will also consume more server resources. If your server is experiencing slowdown issues, try increasing this value from the default (5,000 milliseconds). Please enter a number between 1,000 and 100,000 (milliseconds)."
"Enable IM?";"Enable IM?"
"Do you want to let users have private conversations (IM)?";"Do you want to let users have private conversations (IM)?"
"No, do not enable IM.";"No, do not enable IM."
"Yes, enable IM.";"Yes, enable IM."
"Enable chat?";"Enable chat?"
"Do you want to let users chat in the chat room?";"Do you want to let users chat in the chat room?"
"No, do not enable chat.";"No, do not enable chat."
"Yes, enable chat.";"Yes, enable chat."
"CHAT_FORM_ADMIN_SETTINGS_LEVEL_DESCRIPTION";"These settings are applied on a per member level basis. Start by selecting the member level you want to modify, then adjust the settings for that level below."
"Changes have been saved.";"Changes have been saved."
"Open Chat";"Open Chat"
"Go Offline";"Go Offline"
"General Chat";"General Chat"
"%1$s person";"%1$s person";"%1$s people"
"Friends and Networks";"Amici e Networks"
"Add Member Level";"Add Member Level"
"View Member Levels";"View Member Levels"
"Member Level Edited.";"Member Level Edited."
"Delete the selected member level?";"Delete the selected member level?";"Delete the selected member levels?"
"Are you sure that you want to delete this member level? It will not be recoverable after being deleted.";"Are you sure that you want to delete this member level? It will not be recoverable after being deleted.";"Are you sure that you want to delete these %d member levels? They will not be recoverable after being deleted."
"AUTHORIZATION_VIEWS_SCRIPTS_ADMINLEVEL_DESCRIPTION";"Member levels can be used to give certain members more privileges than others. You can grant/restrict a member level's access to features, sections of the community. You can also assign levels that have moderation or administrative capabilities.<br /><br />One of your member levels must be marked as the ""default level"". When new members sign up, they will automatically belong to this level. You can change a specific member's level by editing their account details from the %s page. If you want all members in your community to have the same features and limits, you will only need a single member level (aside from the Super Admin level)."
"%d level found";"%d level found";"%d levels found"
"%d member";"%d member";"%d members"
"Level Name";"Level Name"
"AUTHORIZATION_FORM_ADMIN_LEVEL_EDIT_DESCRIPTION";"Please provide some information about this new member level. Remember, member levels are useful for giving some members more privileges or granting them moderation abilities. If you just want to create different profile types (i.e. ""Fans"" and ""Bands""), please visit the Profile Questions area."
"Delete Level";"Delete Level"
"Are you sure you want to delete this level? Members in this level will be re-assigned to the default level.";"Are you sure you want to delete this level? Members in this level will be re-assigned to the default level."
"Create Member Level";"Create Member Level"
"Create Level";"Create Level"
"Copy Values From:";"Copy Values From:"
"Member Level Name";"Member Level Name"
"Allow Profile Style";"Allow Profile Style"
"Yes, allow custom profile styles.";"Yes, allow custom profile styles."
"No, do not allow custom profile styles.";"No, do not allow custom profile styles."
"Allow Activity Feed Moderation";"Allow Activity Feed Moderation"
"Yes, allow members in this level to delete any feed item.";"Yes, allow members in this level to delete any feed item."
"No, do not allow moderation.";"No, do not allow moderation."
"Allow Profile Moderation";"Allow Profile Moderation"
"Yes, allow members in this level to edit other profiles and settings.";"Yes, allow members in this level to edit other profiles and settings."
"Yes, allow members in this level to edit other custom profile styles.";"Yes, allow members in this level to edit other custom profile styles."
"Allow Account Deletion?";"Allow Account Deletion?"
"Yes, allow members in this level to delete other users.";"Yes, allow members in this level to delete other users."
"Yes, allow members to delete their account.";"Yes, allow members to delete their account."
"No, do not allow account deletion.";"No, do not allow account deletion."
"Type";"Type"
"suggestion";"suggestion"
"This page contains the general settings for the Suggestion plugin";"This page contains the general settings for the Suggestion plugin"
"Please enter your license key that was provided to you when you purchased this plugin. If you do not know your license key, please contact the Support Team of SocialEngineAddOns from the Support section of your Account Area.";"Please enter your license key that was provided to you when you purchased this plugin. If you do not know your license key, please contact the Support Team of SocialEngineAddOns from the Support section of your Account Area."
"Number of entries in the Suggestion Popups";"Number of entries in the Suggestion Popups"
"How many entries do you want to be shown in the various suggestion popups ?";"How many entries do you want to be shown in the various suggestion popups ?"
"Suggestion types settings";"Suggestion types settings"
"Configure the settings for the various suggestion types available on your site. These settings allow you to set action points for showing suggestions to users, and also configure the number of entries in the suggestion widgets.";"Configure the settings for the various suggestion types available on your site. These settings allow you to set action points for showing suggestions to users, and also configure the number of entries in the suggestion widgets."
"Suggestion Type";"Suggestion Type"
"Friend";"Friend"
"Friend Suggestions Widget";"Friend Suggestions Widget"
"How many suggestions do you want to display in the Friend Suggestions widget ? [Note: Please activate the Friend Suggestions widget from the Layout Editor for this.]";"How many suggestions do you want to display in the Friend Suggestions widget ? [Note: Please activate the Friend Suggestions widget from the Layout Editor for this.]"
"Suggestions popup after Add as Friend";"Suggestions popup after Add as Friend"
"Do you want the suggestions popup to be shown to a user after Adding of a Friend ? [This popup enables the user to suggest the newly added friend to his/her other friends, so that they may also add him/her.]";"Do you want the suggestions popup to be shown to a user after Adding of a Friend ? [This popup enables the user to suggest the newly added friend to his/her other friends, so that they may also add him/her.]"
"Yes, show this suggestions popup.";"Yes, show this suggestions popup."
"No, do not show this suggestions popup.";"No, do not show this suggestions popup."
"Suggestions popup after Accepting a Friend Request";"Suggestions popup after Accepting a Friend Request"
"Do you want the suggestions popup to be shown to a user after Accepting a Friend Request ? [This popup suggests to a user other friends of the added friend, and allows the user to add them as a friend.]";"Do you want the suggestions popup to be shown to a user after Accepting a Friend Request ? [This popup suggests to a user other friends of the added friend, and allows the user to add them as a friend.]"
"Group Suggestions Widget";"Group Suggestions Widget"
"How many suggestions do you want to display in the Group Suggestions widget ? [Note: Please activate the Group Suggestions widget from the Layout Editor for this.]";"How many suggestions do you want to display in the Group Suggestions widget ? [Note: Please activate the Group Suggestions widget from the Layout Editor for this.]"
"Suggestions popup after Creating a Group";"Suggestions popup after Creating a Group"
"Do you want the suggestions popup to be shown to a user after Creating a Group ? [This popup enables the user to suggest the newly created group to his/her friends, so that they may join it.]";"Do you want the suggestions popup to be shown to a user after Creating a Group ? [This popup enables the user to suggest the newly created group to his/her friends, so that they may join it.]"
"Suggestions popup after Joining a Group";"Suggestions popup after Joining a Group"
"Do you want the suggestions popup to be shown to a user after Joining a Group ? [This popup enables the user to suggest the just joined group to his/her friends, so that they may join it too.]";"Do you want the suggestions popup to be shown to a user after Joining a Group ? [This popup enables the user to suggest the just joined group to his/her friends, so that they may join it too.]"
"Classified Suggestions Widget";"Classified Suggestions Widget"
"How many suggestions do you want to display in the Classified Suggestions widget ? [Note: Please activate the Classified Suggestions widget from the Layout Editor for this.]";"How many suggestions do you want to display in the Classified Suggestions widget ? [Note: Please activate the Classified Suggestions widget from the Layout Editor for this.]"
"Suggestions popup after Creating a Classified";"Suggestions popup after Creating a Classified"
"Do you want the suggestions popup to be shown to a user after Creating a Classified ? [This popup enables the user to suggest the newly created classified to his/her friends, so that they may view it.]";"Do you want the suggestions popup to be shown to a user after Creating a Classified ? [This popup enables the user to suggest the newly created classified to his/her friends, so that they may view it.]"
"Video Suggestions Widget";"Video Suggestions Widget"
"How many suggestions do you want to display in the Video Suggestions widget ? [Note: Please activate the Video Suggestions widget from the Layout Editor for this.]";"How many suggestions do you want to display in the Video Suggestions widget ? [Note: Please activate the Video Suggestions widget from the Layout Editor for this.]"
"Suggestions popup after Creating a Video";"Suggestions popup after Creating a Video"
"Do you want the suggestions popup to be shown to a user after Creating a Video ? [This popup enables the user to suggest the newly created video to his/her friends, so that they may view it.]";"Do you want the suggestions popup to be shown to a user after Creating a Video ? [This popup enables the user to suggest the newly created video to his/her friends, so that they may view it.]"
"Blog Suggestions Widget";"Blog Suggestions Widget"
"How many suggestions do you want to display in the Blog Suggestions widget ? [Note: Please activate the Blog Suggestions widget from the Layout Editor for this.]";"How many suggestions do you want to display in the Blog Suggestions widget ? [Note: Please activate the Blog Suggestions widget from the Layout Editor for this.]"
"Suggestions popup after Creating a Blog";"Suggestions popup after Creating a Blog"
"Do you want the suggestions popup to be shown to a user after Creating a Blog ? [This popup enables the user to suggest the newly created blog to his/her friends, so that they may read it or comment on it.]";"Do you want the suggestions popup to be shown to a user after Creating a Blog ? [This popup enables the user to suggest the newly created blog to his/her friends, so that they may read it or comment on it.]"
"Event Suggestions Widget";"Event Suggestions Widget"
"How many suggestions do you want to display in the Event Suggestions widget ? [Note: Please activate the Event Suggestions widget from the Layout Editor for this.]";"How many suggestions do you want to display in the Event Suggestions widget ? [Note: Please activate the Event Suggestions widget from the Layout Editor for this.]"
"Suggestions popup after Creating an Event";"Suggestions popup after Creating an Event"
"Do you want the suggestions popup to be shown to a user after Creating a Event ? [This popup enables the user to suggest the newly created event to his/her friends, so that they may attend / join it.]";"Do you want the suggestions popup to be shown to a user after Creating a Event ? [This popup enables the user to suggest the newly created event to his/her friends, so that they may attend / join it.]"
"Suggestions popup after Joining an Event";"Suggestions popup after Joining an Event"
"Do you want the suggestions popup to be shown to a user after Joining an Event ? [This popup enables the user to suggest the just joined event to his/her friends, so that they may attend / join it too.]";"Do you want the suggestions popup to be shown to a user after Joining an Event ? [This popup enables the user to suggest the just joined event to his/her friends, so that they may attend / join it too.]"
"Album Suggestions Widget";"Album Suggestions Widget"
"How many suggestions do you want to display in the Album Suggestions widget ? [Note: Please activate the Album Suggestions widget from the Layout Editor for this.]";"How many suggestions do you want to display in the Album Suggestions widget ? [Note: Please activate the Album Suggestions widget from the Layout Editor for this.]"
"Suggestions popup after Creating an Album";"Suggestions popup after Creating an Album"
"Do you want the suggestions popup to be shown to a user after Creating an Album ? [This popup enables the user to suggest the newly created album to his/her friends, so that they may view it, tag on it or comment on it.]";"Do you want the suggestions popup to be shown to a user after Creating an Album ? [This popup enables the user to suggest the newly created album to his/her friends, so that they may view it, tag on it or comment on it.]"
"Music Suggestions Widget";"Music Suggestions Widget"
"How many suggestions do you want to display in the Music Suggestions widget ? [Note: Please activate the Music Suggestions widget from the Layout Editor for this.]";"How many suggestions do you want to display in the Music Suggestions widget ? [Note: Please activate the Music Suggestions widget from the Layout Editor for this.]"
"Suggestions popup after Uploading Music";"Suggestions popup after Uploading Music"
"Do you want the suggestions popup to be shown to a user after Uploading Music ? [This popup enables the user to suggest the newly uploaded music to his/her friends, so that they may listen to it or comment on it.]";"Do you want the suggestions popup to be shown to a user after Uploading Music ? [This popup enables the user to suggest the newly uploaded music to his/her friends, so that they may listen to it or comment on it.]"
"Poll Suggestions Widget";"Poll Suggestions Widget"
"How many suggestions do you want to display in the Poll Suggestions widget ? [Note: Please activate the Poll Suggestions widget from the Layout Editor for this.]";"How many suggestions do you want to display in the Poll Suggestions widget ? [Note: Please activate the Poll Suggestions widget from the Layout Editor for this.]"
"Suggestions popup after Creating a Poll";"Suggestions popup after Creating a Poll"
"Do you want the suggestions popup to be shown to a user after Creating a Poll ? [This popup enables the user to suggest the newly created poll to his/her friends, so that they may vote on it.]";"Do you want the suggestions popup to be shown to a user after Creating a Poll ? [This popup enables the user to suggest the newly created poll to his/her friends, so that they may vote on it.]"
"Forum Suggestions Widget";"Forum Suggestions Widget"
"How many suggestions do you want to display in the Forum Suggestions widget ? [Note: Please activate the Forum Suggestions widget from the Layout Editor for this.]";"How many suggestions do you want to display in the Forum Suggestions widget ? [Note: Please activate the Forum Suggestions widget from the Layout Editor for this.]"
"Suggestions popup after Creating a Forum Topic";"Suggestions popup after Creating a Forum Topic"
"Do you want the suggestions popup to be shown to a user after Creating a Forum Topic ? [This popup enables the user to suggest the newly created forum topic to his/her friends, so that they may view it / comment on it.]";"Do you want the suggestions popup to be shown to a user after Creating a Forum Topic ? [This popup enables the user to suggest the newly created forum topic to his/her friends, so that they may view it / comment on it.]"
"Suggestions popup after Replying to a Forum Topic";"Suggestions popup after Replying to a Forum Topic"
"Do you want the suggestions popup to be shown to a user after Replying to a Forum Topic ? [This popup enables the user to suggest the forum topic to his/her friends, so that they may view it / take part in the discussion too.]";"Do you want the suggestions popup to be shown to a user after Replying to a Forum Topic ? [This popup enables the user to suggest the forum topic to his/her friends, so that they may view it / take part in the discussion too.]"
"Mixed Suggestions";"Mixed Suggestions"
"Here, you can select the suggestions that you want to be shown amongst mixed suggestions, and also configure the number of entries. [Note : Please enable the Mixed Suggestions widget from the Layout Editor for this.]";"Here, you can select the suggestions that you want to be shown amongst mixed suggestions, and also configure the number of entries. [Note : Please enable the Mixed Suggestions widget from the Layout Editor for this.]"
"Mixed Suggestions Widget";"Mixed Suggestions Widget"
"How many suggestions do you want to display in the Mixed Suggestions widget ?";"How many suggestions do you want to display in the Mixed Suggestions widget ?"
"Message-a-Friend Suggestions";"Message-a-Friend Suggestions"
"Do you want Message-a-Friend suggestions to be part of Mixed Suggestions ? [This suggestion shows to the user a friend that he/she has not contacted/messaged since a long time, and provides the user a quick link to message that friend.]";"Do you want Message-a-Friend suggestions to be part of Mixed Suggestions ? [This suggestion shows to the user a friend that he/she has not contacted/messaged since a long time, and provides the user a quick link to message that friend.]"
"Yes, make this suggestion a part of Mixed Suggestions.";"Yes, make this suggestion a part of Mixed Suggestions."
"No, do not make this suggestion a part of Mixed Suggestions.";"No, do not make this suggestion a part of Mixed Suggestions."
"Suggest-Friends-to-Friend Suggestions";"Suggest-Friends-to-Friend Suggestions"
"Do you want Suggest-Friends-to-Friend suggestions to be part of Mixed Suggestions ? [This suggestion shows to the user a friend of his/her who has few friends on the site, and enables the user to suggest friends to him/her.]";"Do you want Suggest-Friends-to-Friend suggestions to be part of Mixed Suggestions ? [This suggestion shows to the user a friend of his/her who has few friends on the site, and enables the user to suggest friends to him/her.]"
"Profile Picture Suggestions";"Profile Picture Suggestions"
"Do you want Profile Picture suggestions to be part of Mixed Suggestions ? [This suggestion shows to the user a friend of his/her who does not have a profile picture, and enables the user to suggest a profile picture to this friend.]";"Do you want Profile Picture suggestions to be part of Mixed Suggestions ? [This suggestion shows to the user a friend of his/her who does not have a profile picture, and enables the user to suggest a profile picture to this friend.]"
"Friend Suggestions";"Friend Suggestions"
"Do you want Friend suggestions to be part of Mixed Suggestions ?";"Do you want Friend suggestions to be part of Mixed Suggestions ?"
"Group Suggestions";"Group Suggestions"
"Do you want Group suggestions to be part of Mixed Suggestions ?";"Do you want Group suggestions to be part of Mixed Suggestions ?"
"Event Suggestions";"Event Suggestions"
"Do you want Event suggestions to be part of Mixed Suggestions ?";"Do you want Event suggestions to be part of Mixed Suggestions ?"
"Classified Suggestions";"Classified Suggestions"
"Do you want Classified suggestions to be part of Mixed Suggestions ?";"Do you want Classified suggestions to be part of Mixed Suggestions ?"
"Album Suggestions";"Album Suggestions"
"Do you want Album suggestions to be part of Mixed Suggestions ?";"Do you want Album suggestions to be part of Mixed Suggestions ?"
"Video Suggestions";"Video Suggestions"
"Do you want Video suggestions to be part of Mixed Suggestions ?";"Do you want Video suggestions to be part of Mixed Suggestions ?"
"Music Suggestions";"Music Suggestions"
"Do you want Music suggestions to be part of Mixed Suggestions ?";"Do you want Music suggestions to be part of Mixed Suggestions ?"
"Blog Suggestions";"Blog Suggestions"
"Do you want Blog suggestions to be part of Mixed Suggestions ?";"Do you want Blog suggestions to be part of Mixed Suggestions ?"
"Poll Suggestions";"Poll Suggestions"
"Do you want Poll suggestions to be part of Mixed Suggestions ?";"Do you want Poll suggestions to be part of Mixed Suggestions ?"
"Forum Suggestions";"Forum Suggestions"
"Do you want Forum suggestions to be part of Mixed Suggestions ?";"Do you want Forum suggestions to be part of Mixed Suggestions ?"
"Site Introduction";"Site Introduction"
"Site Introduction / Welcome";"Site Introduction / Welcome"
"Please configure the site introduction / welcome popup below. Use this popup to give an introduction of your site to the newly signed-up users, and welcome them. After signing up on the site, the users will see this popup.";"Please configure the site introduction / welcome popup below. Use this popup to give an introduction of your site to the newly signed-up users, and welcome them. After signing up on the site, the users will see this popup."
"Activate Site Introduction";"Activate Site Introduction"
"Do you want to show a site introduction popup to the newly signed-up users of your site ?";"Do you want to show a site introduction popup to the newly signed-up users of your site ?"
"Yes, activate the site introduction popup.";"Yes, activate the site introduction popup."
"No, deactivate the site introduction popup.";"No, deactivate the site introduction popup."
"Customize the background of the introduction popup";"Customize the background of the introduction popup"
"Select the background color of the introduction popup. [Click on the rainbow icon below to choose your color.]";"Select the background color of the introduction popup. [Click on the rainbow icon below to choose your color.]"
"Introduction Popup Content";"Introduction Popup Content"
"Create the content for your site introduction popup. [Note: The widths of inserted media content like images or videos should not be more than 430 px.]";"Create the content for your site introduction popup. [Note: The widths of inserted media content like images or videos should not be more than 430 px.]"
"Recommended Groups";"Recommended Groups"
"This widget shows the Group Suggestions.";"This widget shows the Group Suggestions."
"Recommended Groups Disabled";"Recommended Groups Disabled"
"This widget is disabled because the Group Module has not been enabled on this site.";"This widget is disabled because the Group Module has not been enabled on this site."
"Recommended Classifieds";"Recommended Classifieds"
"This widget shows the Classified Suggestions.";"This widget shows the Classified Suggestions."
"Recommended Classifieds Disabled";"Recommended Classifieds Disabled"
"This widget is disabled because the Classified Module has not been enabled on this site.";"This widget is disabled because the Classified Module has not been enabled on this site."
"Recommended Videos";"Recommended Videos"
"This widget shows the Video Suggestions.";"This widget shows the Video Suggestions."
"Recommended Videos Disabled";"Recommended Videos Disabled"
"This widget is disabled because the Video Module has not been enabled on this site.";"This widget is disabled because the Video Module has not been enabled on this site."
"Recommended Blogs";"Recommended Blogs"
"This widget shows the Blog Suggestions.";"This widget shows the Blog Suggestions."
"Recommended Blogs Disabled";"Recommended Blogs Disabled"
"This widget is disabled because the Blog Module has not been enabled on this site.";"This widget is disabled because the Blog Module has not been enabled on this site."
"Recommended Events";"Recommended Events"
"This widget shows the Event Suggestions.";"This widget shows the Event Suggestions."
"Recommended Events Disabled";"Recommended Events Disabled"
"This widget is disabled because the Event Module has not been enabled on this site.";"This widget is disabled because the Event Module has not been enabled on this site."
"Recommended Albums";"Recommended Albums"
"This widget shows the Album Suggestions.";"This widget shows the Album Suggestions."
"Recommended Albums Disabled";"Recommended Albums Disabled"
"This widget is disabled because the Album Module has not been enabled on this site.";"This widget is disabled because the Album Module has not been enabled on this site."
"Recommended Music";"Recommended Music"
"This widget shows the Music Suggestions.";"This widget shows the Music Suggestions."
"Recommended Music Disabled";"Recommended Music Disabled"
"This widget is disabled because the Music Module has not been enabled on this site.";"This widget is disabled because the Music Module has not been enabled on this site."
"Recommended Polls";"Recommended Polls"
"This widget shows the Poll Suggestions.";"This widget shows the Poll Suggestions."
"Recommended Polls [Disabled]";"Recommended Polls [Disabled]"
"This widget is disabled because the Poll Module has not been enabled on this site.";"This widget is disabled because the Poll Module has not been enabled on this site."
"Recommended Forum Topics";"Recommended Forum Topics"
"This widget shows the Forum Topic Suggestions.";"This widget shows the Forum Topic Suggestions."
"Recommended Forum Topics Disabled";"Recommended Forum Topics Disabled"
"This widget is disabled because the Forum Module has not been enabled on this site.";"This widget is disabled because the Forum Module has not been enabled on this site."
"People you may know";"People you may know"
"This widget shows the Friend Suggestions.";"This widget shows the Friend Suggestions."
"The suggestions shown in this widget are a mix of the various suggestion types. You may configure settings for this widget from the Mixed Suggestions tab of the Suggestions section of Admin Panel.";"The suggestions shown in this widget are a mix of the various suggestion types. You may configure settings for this widget from the Mixed Suggestions tab of the Suggestions section of Admin Panel."
"Explore Suggestions";"Explore Suggestions"
"This widget shows the Mixed Suggestions to a user. The suggestions shown in this widget are a mix of the various suggestion types. You may configure settings for this widget from the Mixed Suggestions tab of the Suggestions section of Admin Panel. The primary place for this widget is at the left side of Explore Suggestions Page.";"This widget shows the Mixed Suggestions to a user. The suggestions shown in this widget are a mix of the various suggestion types. You may configure settings for this widget from the Mixed Suggestions tab of the Suggestions section of Admin Panel. The primary place for this widget is at the left side of Explore Suggestions Page."
"By ";"By "
"photos";"photos"
"View Album";"View Album"
" Posted ";" Posted "
"Posted ";"Posted "
" by ";" by "
"at";"at"
"guests led by";"ospiti presentati da"
"View Classified";"View Classified"
"See All";"See All"
"member led by";"membri presentati da"
"Listen to Music";"Listen to Music"
"View Video";"View Video"
"Vote on Poll";"Vote on Poll"
"Replie";"Replie"
"Replies";"Replies"
"View Forum Topic";"View Forum Topic"
"My Connections";"My Connections"
"Find Friends";"Find Friends"
"Help";"Help"
"find more friends.";"find more friends."
"Suggest Friends";"Suggest Friends"
"needs a profile picture.";"needs a profile picture."
"Suggest Picture";"Suggest Picture"
"event suggestion";"event suggestion"
"event suggestions";"event suggestions"
"classified suggestion";"classified suggestion"
"classified suggestions";"classified suggestions"
"video suggestion";"video suggestion"
"video suggestions";"video suggestions"
"album suggestion";"album suggestion"
"album suggestions";"album suggestions"
"music suggestion";"music suggestion"
"music suggestions";"music suggestions"
"poll suggestion";"poll suggestion"
"poll suggestions";"poll suggestions"
"forum suggestion";"forum suggestion"
"forum suggestions";"forum suggestions"
"blog suggestions";"blog suggestions"
"blog suggestion";"blog suggestion"
"friend suggestion";"friend suggestion"
"group suggestion";"group suggestion"
"profile photo suggestion";"profile photo suggestion"
"has suggested to you a";"has suggested to you a"
"You have an";"You have an"
"You have a";"You have a"
"Ignore";"Ignore"
"Share Event";"Share Event"
"This";"This"
"was suggested by";"was suggested by"
